"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5889","Uploading device without first name, last name and company","","2026-05-11","passed","2026-05-11","","Worker Module - File Upload and Download","",""
"","3393","Insight-Worker Validate Worker on-site today card displays correct information","","2026-05-11","passed","2026-05-11","","Insight-Worker Insight Worker Info Card","",""
"","1019","Validate the Back button functionlity while clicking picture","","2026-05-11","passed","2026-05-11","","Worker Module - Add Worker Tests","",""
"","4023","Insights-Company - This Month selection","","2026-05-11","passed","2026-05-11","","Insights-Company Module - Calendar & Download Validation","",""
"","1542","Insights-Workers - Current Week selection highlights correct dates","","2026-05-11","passed","2026-05-11","","Insights-Workers Module - Calendar Validation","",""
"","5854","WorkForce-Company - Should add a worker by uploading a valid file and validate in the table and check the data entered","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - File Upload","",""
"","2309","WorkForce-Company - Verify Favorite Status Persistence","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Favourite Page","",""
"","1601","WorkForce-Company - Verify FIRST page disables previous button","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Pagination","",""
"","5391","Verify Multiple Company Selection for Filtering","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","2631","WorkForce-Company - Verify page scroll resets to top after navigating between pages","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Pagination","",""
"","3410","Insights-Company - Company + Crew + Workers On-site all combined should return correct results (UI only)","","2026-05-11","passed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","0","Insights-Worker - Filter by Race and validate inclusivity & exclusivity via API","","2026-05-11","skipped","2026-05-11","","Insight Worker - Filter Functionality","",""
"","4607","Insights-Company - Verify Average Worker Hours Daily Card","","2026-05-11","passed","2026-05-11","","Insights Company - Workforce Dashboard Cards","",""
"","19657","Should validate NFC tag color for each worker row based on NFC value","","2026-05-11","passed","2026-05-11","","Worker Module e2e - Access Control Page Tests","",""
"","14083","Send onboarding invite - Worker with no email","","2026-05-11","passed","2026-05-11","","Worker Onboarding Email Validation","",""
"","2633","Verify filter of the Site Status column","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","3306","Should capture worker photo via camera","","2026-05-11","passed","2026-05-11","","Worker Module - Add Worker Tests","",""
"","3965","should allow editing and saving of all editable general Details fields","","2026-05-11","passed","2026-05-11","","Worker Module - General Details Page","",""
"","0","Insights-Worker - Verify Worker Zip Code Filter","","2026-05-11","skipped","2026-05-11","","Insight Worker - Filter Functionality","",""
"","1139","Should disable buttons when mandatory fields are empty","","2026-05-11","passed","2026-05-11","","Worker Module - Add Worker Tests","",""
"","8404","Verify that the status of onboarding is SENT on the worker page.","","2026-05-11","passed","2026-05-11","","Worker Onboarding Email Validation","",""
"","5788","Insight-Worker - Validate drag and drop column syncs with table headers","","2026-05-11","passed","2026-05-11","","Insight-worker Module - column","",""
"","2128","Insights-Company - Validating the search functionality for the search with no results","","2026-05-11","passed","2026-05-11","","Insight Company - Search ","",""
"","1906","Validating search functionality with device in use","","2026-05-11","passed","2026-05-11","","Worker Module - Search","",""
"","33704","WorkForce-Company - Verify expired company licence shows red color for close date","","2026-05-11","failed","2026-05-11","","WorkForce Companies Module - Documents Page","",""
"","34198","WorkForce-Company - Editing the existing company document and add a jpeg document","","2026-05-11","failed","2026-05-11","","WorkForce Companies Module - Documents Page","",""
"","2523","Insights-workers - Verify Next and previous button navigates to respective page","","2026-05-11","passed","2026-05-11","","Insights-Workers Module - Pagination","",""
"","7186","WorkForce-Company - Verify filtering by Total Worker filter","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Filter","",""
"","32425","Insights-Workers - Custom Range date selection","","2026-05-11","failed","2026-05-11","","Insights-Workers Module - Calendar Validation","",""
"","4081","Insight-Worker - Clicking previous week arrow should shift date range back by 7 days","","2026-05-11","passed","2026-05-11","","Insights Workers Module - View Controls","",""
"","4080","Cancelling the Alert Sending Process","","2026-05-11","passed","2026-05-11","","Worker Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","5774","WorkForce-Company - Validate drag and drop column feature","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - column","",""
"","2039","Insights-Company | Verify selected worker count updates when a single worker is selected","","2026-05-11","passed","2026-05-11","","Insights Companies Module - Selection Functionality","",""
"","2952","Insights-workers - Verify pagination is visible and default page is focused","","2026-05-11","passed","2026-05-11","","Insights-Workers Module - Pagination","",""
"","1548","Insight-Worker - clicking on the x icon should close the column setting drawer","","2026-05-11","passed","2026-05-11","","Insight-worker Module - column","",""
"","930","Insight-Company - Validate checked columns appear in table in same pattern","","2026-05-11","passed","2026-05-11","","Insight-Company Module - column","",""
"","7297","verifies resolving an alert moves it from Unresolved to Resolved list","","2026-05-11","passed","2026-05-11","","Worker Module - Safety Audit","",""
"","2625","should verify that safety alerts are displayed in descending order by date","","2026-05-11","passed","2026-05-11","","Worker Module - Safety Audit","",""
"","2164","Should add worker with only mandatory fields","","2026-05-11","passed","2026-05-11","","Worker Module - Add Worker Tests","",""
"","3103","Insight-Worker validate Average daily work hour","","2026-05-11","passed","2026-05-11","","Insight-Worker Metrics Summary Info Card","",""
"","6087","Verify Name Filter Supports Case Insensitivity (Uppercase, Lowercase, Mixed Case)","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","3112","Shows a warning when adding a new field with an existing field name","","2026-05-11","passed","2026-05-11","","Worker Module - Field Settings","",""
"","2469","Insights-Company - Actual Work-Days + Crew filter combined should return correct results (UI only)","","2026-05-11","passed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","2701","verifies checkbox selection in safety audit updates the alert count correctly","","2026-05-11","passed","2026-05-11","","Worker Module - Safety Audit","",""
"","3657","Verify warning message on disabling a worker without any assigned device.","","2026-05-11","passed","2026-05-11","","Worker Module - overflowMenu","",""
"","8372","Insights-Company - Verify the data on the downloaded CSV report matches with the application data","","2026-05-11","passed","2026-05-11","","Insights Company Module - Download","",""
"","22124","Insights-Company - download for This Month","","2026-05-11","failed","2026-05-11","","Insights Company Module - Download","",""
"","1815","Insights-Company - Workers On-site filter - only max set should return results less than or equal to max","","2026-05-11","passed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","0","Insights-Worker - Verify Device Filter","","2026-05-11","skipped","2026-05-11","","Insight Worker - Filter Functionality","",""
"","6012","Insights-Worker - Verify clicking on 'x' available on the search bar to clear off the text and search applied","","2026-05-11","passed","2026-05-11","","Insight Worker - Search ","",""
"","1","Insights-Company - Validate the Cost Code Filter","","2026-05-11","skipped","2026-05-11","","Companies Insights - Filter Functionality","",""
"","4785","Insight-Company - Enforces maximum character limit for General Communication messages","","2026-05-11","passed","2026-05-11","","Insight-Company Module - Send Alert Functionality","",""
"","1383","Insights-Company - Last 30 Days selection","","2026-05-11","passed","2026-05-11","","Insights-Company Module - Calendar & Download Validation","",""
"","8356","Uploading device with EMPTY instance id should fail validation","","2026-05-11","passed","2026-05-11","","Worker Module - File Upload and Download","",""
"","2347","Insight-Company - Cancelling Alert Resets Fields and Closes Modal","","2026-05-11","passed","2026-05-11","","Insight-Company Module - Send Alert Functionality","",""
"","4239","Insight-Worker - Clicking Last Update button should refresh table and return 200","","2026-05-11","passed","2026-05-11","","Insights Workers Module - View Controls","",""
"","909","marks number rule as unmet when password has no numeric digit","","2026-05-11","passed","2026-05-11","","Sign Up","",""
"","1212","should display the correct tooltip information on clicking the info icon in Personal Details","","2026-05-11","passed","2026-05-11","","Worker Module - Personal Details Page","",""
"","3788","Verify expired licence shows red color for close date","","2026-05-11","passed","2026-05-11","","Worker Module - Documents Page","",""
"","3316","should filter by crew and extract worker IDs from API response","","2026-05-11","passed","2026-05-11","","Insight Worker - Filter Functionality","",""
"","32481","Insight-Worker Insights-Company - Validate safety alert for selected worker","","2026-05-11","failed","2026-05-11","","Insight-Worker Insight Worker Info Card","",""
"","32268","Modifying and Saving an Existing Alert Template","","2026-05-11","failed","2026-05-11","","Worker Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","31461","Insights-Workers - Verify Insights Workers Page Accessibility from Favorites","","2026-05-11","failed","2026-05-11","","Insights Workers - Favourite Page","",""
"","12827","Turn on all columns and verify they appear in the table","","2026-05-11","passed","2026-05-11","","Worker Module - Column","",""
"","2289","WorkForce-Company - Open Add New Column drawer and verify initial UI state","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - column","",""
"","5343","Insights-Worker - Validating the search functionality by worker name - run twice","","2026-05-11","passed","2026-05-11","","Insight Worker - Search ","",""
"","31990","Insights-Company - verify the UI of the filter form","","2026-05-11","failed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","666","Validating sending alert without selecting a company","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module- Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","804","Insight-Worker Validate Average Check-in Time (Fixed Logic)","","2026-05-11","passed","2026-05-11","","Insight-Worker Metrics Summary Info Card","",""
"","2054","Validating the search functionality for the search with no results","","2026-05-11","passed","2026-05-11","","Worker Module - Search","",""
"","3384","should add a comment to a safety alert and verify it appears in the comment list","","2026-05-11","passed","2026-05-11","","Worker Module - Safety Audit","",""
"","2148","Should verify downloaded worker CSV content matches UI worker list","","2026-05-11","passed","2026-05-11","","Worker Module - File Upload and Download","",""
"","8118","should delete a comment from a safety alert and verify it is removed from the comment list","","2026-05-11","passed","2026-05-11","","Worker Module - Safety Audit","",""
"","853","should clear selection when clear selection icon is clicked after selecting a worker","","2026-05-11","passed","2026-05-11","","Workforce Worker Module - Selection Functionality","",""
"","997","Insights-Companies - Verify Next and previous button navigates to respective page","","2026-05-11","passed","2026-05-11","","Insights-Companies Module - Pagination","",""
"","31958","Insights-Workers - Insight Workers Verify remove worker from Favorite","","2026-05-11","failed","2026-05-11","","Insights Workers - Favourite Page","",""
"","1969","WorkForce-Company - Uploading file with duplicate companies in the file only one of them should get added","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - File Upload","",""
"","0","Insights-Worker - Verify Certificate Expiry Date Filter","","2026-05-11","skipped","2026-05-11","","Insight Worker - Filter Functionality","",""
"","1383","Insights-Company - Validate Filter of certificate expired","","2026-05-11","passed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","4429","Deleting a certificate","","2026-05-11","passed","2026-05-11","","Worker Module - Documents Page","",""
"","2192","Validate presence and count of all labels according to the project","","2026-05-11","failed","2026-05-11","","WorkForce Companies Module - Add Company","",""
"","3767","Insights-Worker - Validating the search functionality by company name - run twice","","2026-05-11","passed","2026-05-11","","Insight Worker - Search ","",""
"","2079","Verify page scroll resets to top after navigating between pages","","2026-05-11","passed","2026-05-11","","Worker Module - Pagination","",""
"","4753","Insights-Worker - Verify Last Seen Location","","2026-05-11","passed","2026-05-11","","Insight Worker - Filter Functionality","",""
"","3786","Insight-Worker - Clicking next week arrow should shift date range forward by 7 days","","2026-05-11","passed","2026-05-11","","Insights Workers Module - View Controls","",""
"","2283","Should auto-calculate expiry date when Expires In is set","","2026-05-11","passed","2026-05-11","","Worker Module - Documents Page","",""
"","4927","Insights-Company - Verify the search is cleared once the whole text from the search bar is cleared","","2026-05-11","passed","2026-05-11","","Insight Company - Search ","",""
"","3749","Insight-Worker - Verify Avg Daily Work hours tooltip on hover","","2026-05-11","passed","2026-05-11","","Insight-Worker Metrics Summary Info Card","",""
"","920","Insights-Company - Navigate between months","","2026-05-11","passed","2026-05-11","","Insights-Company Module - Calendar & Download Validation","",""
"","1817","Verify Cancel and X cancels the page.","","2026-05-11","passed","2026-05-11","","Worker Module - overflowMenu","",""
"","2387","WorkForce-Company - Verify the uploading of a blank template shows a message saying ""No new company(s) will be imported.","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - File Upload","",""
